,Organization,Name,Farm,Address,Latitude,Longitude
145,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Agro Verde,"Rod. BR 251, km 943, Fazenda Catingueiro Zona Rural – Unaí/MG",-47.115216,-16.38784
146,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Antagordense,"Rod. MG 190, km 74, Iraí de Minas/MG",-47.580682,-18.995999
147,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Campo Alegre,Araguari/MG,-46.90139,-16.35907
148,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Gira Mundo,Paracatu/MG,-46.5583,-16.9117
149,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Liberdade,"Bonfinópolis de Minas a Unaí km 78 à direita, Bonfinópolis de Minas/MG",-46.504286,-16.33246
150,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Santo Antônio,Canápolis/MG,-49.23964,-18647377.0
151,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,São Luiz,Estrela do Sul/MG,-47.706083,-18.862501
152,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,São Luiz,Paracatu/MG,-47.2500733,-17.4651716
153,Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Sayo,Indianópolis/MG,-47.73718,-47.73718
154,Wellington Pereira Lima - Gebana Goias,Wellington Pereira Lima - Gebana Goias,Wellington Pereira Lima - Gebana Goias,Comunidade Norte - Goianésia / GO,-15.139852777777778,-48.95296388888889
155,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Fazenda Lage,Santana da Vargem – MG,-21.282777777777778,-45.43416666666666
156,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Faz. Saquarema,Carmo da Cachoeira – MG,-21.52791111111111,-45.25128611111111
157,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Faz. Verdes Mares,Guapé – MG,-20.823544444444444,-45.25128611111111
158,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Potreiro,Três Pontas - MG,-21.380283333333335,-45.308474999999994
159,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Agrorossi,Serra Salitre – MG,-19.435080555555555,-46.84454166666667
160,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,São Pedro,Ibiá – MG,-19.516130555555556,-46.53453888888889
161,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,FAZENDA ANGICOS,Ibiá - MG,-19.937797222222223,-46.53453888888889
162,Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Fazenda Novo Horizonte,Medeiros - MG,-21.60213888888889,-46.43993333333333
163,SLC Agrícola,SLC Agrícola S.A.,Fazenda Paiaguás,Diamantino MT,-57.456034,-14.08013
164,SLC Agrícola,SLC Agrícola S.A.,Fazenda Palmares,Barreiras BA,-57.456034,-11.672627
165,SLC Agrícola,SLC Agrícola S.A.,Fazenda Pamplona,Cristalina GO,-47.625268,-16.227882
166,SLC Agrícola,SLC Agrícola S.A.,Fazenda Panorama,Correntina BA,-46.097783,-13.407468
167,SLC Agrícola,SLC Agrícola S.A.,Fazenda Parnaíba,Tasso Fragoso MA,-46.077028,-8.514722
168,SLC Agrícola,SLC Agrícola S.A.,Fazenda Perdizes,Porto dos Gaúchos PZ,-56.260797,-11.641121
169,SLC Agrícola,SLC Agrícola S.A.,Fazenda Pioneira,Querência MT,-52.420525,-12.100987
170,SLC Agrícola,SLC Agrícola S.A.,Fazenda Planalto,Costa Rica MS,-53.204092,-18.211311
171,SLC Agrícola,SLC Agrícola S.A.,Fazenda Planeste,Balsas MA,-46.859487,-8.554206
172,SLC Agrícola,SLC Agrícola S.A.,Fazenda Planorte,Sapezal MT,-58.898933,-13.936938
173,Archer-Daniels-Midland Company (ADM),ADM do Brasil - Fazenda Perdigão,Fazenda Perdigão,"Partindo de São Gabriel do Oeste pelo sentido areado, seguindo a sgo 066, após o rio Coxim seguir por 700 metros. Entrar na estrada a direita e seguir por mais 2 km até chegar a sede da fazenda Bela Miragem, entrar a esquerda e seguir por mais 500 metros, após o córrego Estiva chega a sede da fazenda.",-19.3549,-54.55269444444444
174,Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda Serra Azul,"Estrada do Marzagao, Rosário do Oeste/MT",-55646,-14629
175,Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda São Miguel,"Fazenda São Miguel, Zona rural, Campo Verde/MT",-54983,-15356
176,Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda Itaipu,BR 364 KM-260 Vicinal a direita + 55km,"-13.783623304017105, -56.96180390749444",
177,Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda Vovô Ernesto,BR 163 km-665 + 17km a direita sentido Nova Mutum e Lucas do Rio Verde – Nova Mutum/MT,-55898,-13322
178,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Alegria,"BR 163, Km 720, Sorriso-MT - Brasil",-12.804975,-55.776375
179,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Berrante de Ouro,"MT 487, Km 23 – Gleba Barreiro, Sorriso-MT – Brasil",-12.085497222222223,-55.66502777777777
180,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Cella,"MT 242, Km 34 Linha Tropical sentido Ipiranga do Norte, Sorriso- MT – Brasil",-12.502161666666666,-56.4691125
181,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Centro da Mata,"MT 242, Km 759, Nova Ubiratã-MT – Brasil",-13.070797222222222,-54.96544166666667
182,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Criciúma,"Rodovia MT 242 Km 50, Nova Ubiratã-MT, Brasil",-13.338591666666668,-55.11895277777778
183,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Jaborandi,"MT 242, Km 32, Sorriso-MT - Brasil",-12.150277777777777,-55.75083333333333
184,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Leopoldina,"BR 163, Km 722 + 53 à esquerda, Sorriso-MT – Brasil",-12.575758333333333,-56.01485
185,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Marauense,"BR 163 + 50 Km à direita, Sorriso- MT – Brasil",-13.128222222222222,-55.32194444444445
186,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Morena,"MT 235, Km 32 + 10 à direita + 3 à direita, Campo Novo do Parecis-MT – Brasil",-14365,-58.10008333333334
187,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Nossa Senhora da Salete,"BR 163, Km 768 + 20 Km, Vera-MT – Brasil",-12.481625,-55.48473888888889
188,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Pedra,"BR 163, Km 719, Sorriso-MT - Brasil",-12.815619444444446,-55.764494444444445
189,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Pinhal,"Pontal do Verde, Polícia Federal 30 Km, Sorriso-MT – Brasil",-12.940572222222222,-55.58058333333334
190,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Pluma,"MT 242, Estrada do Macaco por 20 Km, Sorriso-MT – Brasil",-12.830516666666666,-55.383494444444445
191,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Rio Vermelho,Ipiranga Norte MT,-12.076508333333333,-56.403327777777776
192,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Rodeio,"BR 242, Km 29, Sorriso-MT – Brasil",-12.723611111111111,-55.532777777777774
193,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santa Ernestina,"BR 163, Km 760 à esquerda, Sorriso- MT – Brasil",-12.479655555555556,-55.696305555555554
194,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santa Maria da Amazônia,"MT 242, Km 20, sentido Ipiranga do Norte, Sorriso-MT – Brasil",-12.371111111111112,-55805
195,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santana,"BR 163, Km 776, 4 Km à direita, Sorriso-MT – Brasil",-9.053305555555557,-65.41750833333334
196,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santo Antônio,"Br 163, Distrito de Primaverinha, Sorriso-MT – Brasil",-12.947222222222223,-55.85277777777778
197,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda São Felipe,"BR 163, Km 708, Distrito de Primavera-MT – Brasil",-12.788533333333334,-55.78503055555555
198,Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Videirense,BR 163 Km 729 Sorriso-MT – Brasil,-12.859094444444445,-55.743830555555554
199,SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PIRACEMA,Nova Mutum – MT,-13.949582647895298,-55.78755225717667
200,SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PIRAPORA,Santa Rita do Trivelato - MT,-14.055526648521356,-55.381183203461205
201,SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PAMPEIRA,Campo Novo do Parecis – MT,-14.232758629576953,-57.70757437834914
202,SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PROSPERA,Tabaporã – MT,-11.035782090505126,-56.363610883179916
203,Grupo Reinhofer,Grupo Reinhofer,Fazenda Campo Bonito,Reserva do Iguaçu -PR,-25.777681,-51.928203
204,Grupo Reinhofer,Grupo Reinhofer,Fazenda Invernada da Reserva,Reserva do Iguaçu -PR,-25.86978,-51.964361
205,Grupo Reinhofer,Grupo Reinhofer,Fazenda Cupim,Guarapuava- PR,-25.525556,-51.576036
206,Grupo Reinhofer,Grupo Reinhofer,Fazenda Santa Bárbara,Pinhão - PR,-25.660838,-51.794032
207,Grupo Reinhofer,Grupo Reinhofer,Fazenda Santa Isabel,Guarapuava- PR,-25.55284,-51.351425
208,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santana,Riachão das Neves - BA,-11.676155555555555,-45.72196666666667
209,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santa Clara,Bom Jesus - PI,-9.144477777777777,-45.06604722222222
210,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Agro Chapada,Paranatinga - MT,-13.55915,-54.31106944444444
211,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Pau Brasil,Campos Lindos - TO,-8.068769444444444,-46.562949999999994
212,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio Khon,Formosa do Rio Petro – BA,-8.237441666666665,-46.65549722222222
213,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai,Luiz Eduardo Magalhães – BA,-12.250475,-45.86673888888889
214,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai Semear,Riachão das Neves – BA,-11.4926,-45.230472222222225
215,Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio,Barreiras - BA,-11.71511111111111,-45.97925277777778
216,Fazenda Pau Furado,FAZENDA PAU FURADO,FAZENDA PAU FURADO,"Rua do Kalinoski, km 16 – Teixeira Soares/PR",-25.196944444444444,-50.31522222222222
217,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Progresso,Sebastião Leal/PI,-7.456163888888889,-44.16243333333333
218,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Tunísia,Uruçuí/PI,-7.408111111111111,-44.31198611111111
219,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Condomínio Boa Esperança,Ribeiro Gonçalves/PI,-8.362975,-45.508427777777776
220,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Nova Holanda,Alto Parnaíba/MA,-8.83783888888889,-46.56133888888888
221,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Serra Vermelha,Sambaíba/MA,-6.894322222222222,-45.32564722222222
222,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Sol Nascente,Balsas/MA,-7.407333333333334,-46.01482222222222
223,Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Santa Luzia,São Raimundo das Mangabeiras/MA,-6.865788888888889,-45.49799166666667
224,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Barranco Alto (Carolina),Linha 155 Gleba Corumbiara – Corumbiara/RO,-12.9903,-61.1752
225,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Chupinguaia (Nossa Senhora Aparecida e Vitória),"Linha 125, km 08, lote 37, Gleba Corumbiara - Chupinguaia/RO",-12.5894,-60.9568
226,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Curitiba (Cabixi),Rodovia BR 364 km 450 Sentido Cuiabá a Porto Velho a esquerda 100 km – Comodoro/MT,-13.5432,-60.4186
227,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Dom Pedro (Pouso Redondo),"Linha 165, Gleba Corumbiara – Corumbiara/RO",-13.0003,-60.9653
228,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Juliana (Ipê / Cacoal),"Linha 130, Lote 51, Setor 10, Gleba Corumbiara – Chupinguaia/RO",-12.6789,-61.1009
229,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Maringá 3,Gleba Ricardo Franco - Vila Bela da Santissima Trindade/MT,-14.4411,-60.1257
230,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Pérola,Rodovia BR 364 KM 1090 – Sapezal/MT,-13.1358,-58.6772
231,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Pirapó,"RODOVIA MT 235, KM 137 + 2 KM À DIREITA, S/N, São José do Rio Claro/MT.",-13.85,-57.1879
232,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Retiro (Itaúna e Parecis),"Rodovia BR 174 km 21, saída para Juína – Vilhena/RO",-12.5667,-60.0786
233,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Reunidas do Papagaio,Rodovia MT 235 KM 80 + 17 KM à direita – Sapezal/MT,-13.4259,-58.4228
234,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Santa Ana,Linha 155 Gleba Corumbiara – Corumbiara/RO,-12.9996,-61.23837
235,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Santa Cândida,Rodovia MT 235 km 112 + 30 km esquerda – Sapezal/MT,-13.8006,-58663
236,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,São Miguel SM5,"Estrada Nova Fronteira, S/N, km 125, linha Sul – Sapezal-MT.",-13.5839,-58.7755
237,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Sete Lagoas,"ROD. BR 364 KM 30 + 30 KM À ESQUERDA. ENTRE O POSTO GIL E DIAMANTINO, S/N, ZONA RURAL Diamantino/MT",- 14.5824,-56.4549
238,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Siriema,"Rodovia MT 235, km 137 entrando a direita percorre-se uma distância de 25 quilômetros – Sapezal/MT",-13.3592,-58.8949
239,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Tupancy,"Rodovia MT 235, Km 100 + 15 Km à direita – Sapezal/MT",-13.4602,-58.5877
240,Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Zanella II,Linha Alto Juruena - Campos de Julio/MT,-13.9476,-59.2014
241,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda União,"Rodovia BR 174, Km 30, Zona Rural, Vilhena/RO.","-12.488199650969268, -60.00359198043838",
242,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Brasil,Barra Do Garças/MT,-15.000061111111112,-52.28388888888889
243,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Terezinha,Nova Xavantina/MT,-15.000066666666667,-52.52565555555555
244,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Querência,Tangará da Serra/MT,-14.487033333333333,-58.35509444444445
245,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Roncador,Querência/MT,-12.144444444444444,-52.24888888888889
246,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Casa Real,"Rodovia Br 020, Km 70 + 70 Km À Esquerda, São Desidério/BA",,
247,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Erechim,"Rod Br 020, Km 113 + 23 Km À Direita, Sentido Lem-Brasília, São Desidério/BA","-13.009090636758199, -46.1754291611641",
248,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Cruzeiro do Sul,"Rod Mt 130 + 140 Km Sentido Santiago Do Norte, Paranatinga/MT","-13.445963632631212, -54.28209040686506",
249,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Novo Rumo,"Rod Naviraí - Porto Caiua, Km 37, Sede B, Naviraí/MS","-22.996481883841412, -53.86491556093154",
250,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda São Francisco,"Rodovia Br 020, Km 91, São Desidério/BA","-12.050938793571582, -44.46166953452224",
251,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Paraná,Brasnorte/MT,-11.684444444444445,-58.230000000000004
252,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Bom Jesus,"Rod Br 364, Km 126, Pedra Preta/MT","-16.800341398781303, -54.10324365989366",
253,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Terezinha,Grupo Bom Jesus Agropecuária Ltda,"-13.83737582064132, -56.074725644280534",
254,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Maria ,"Fazenda Santa Maria Lote 11 E, Formosa Do Rio Preto/BA","-10.734105388218051, -45.70805048143409",
255,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Reata,"Rod Mt 170 - Km 75 - Sucuruina, Sn, Campo Novo Dos Parecis/MT","-12.806630315054907, -58.09559505294213",
256,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Beltrão Terra Forte,"Rod Br 163, Km 774, A Esquerda + 20km, Coxim/MS","-18.158946131833186, -54.72201986877579",
257,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Maria,São Felix Do Araguaia /MT,-11.170416666666666,-52.818333333333335
258,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santo Expedito,"Rodovia Br 242, Km 45, Luís Eduardo Magalhães/BA","-12.129340930818875, -46.16087419001574",
259,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Centúria,"Rod Ba 459, Km 35, Formosa Do Rio Preto/BA","-11.232676662796017, -46.04589526099684",
260,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Sagarana,"Rod Br 020, Km 21, Correntina/BA","-13.761221960734343, -46.162732789986194",
261,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Timbaúba,"Rod Br 020, Km 175, Luís Eduardo Magalhães/BA","-12.519093845285648, -46.15292044768052",
262,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Acalanto,"Rod Br 020, Km 425/110, São Desidério/BA","-12.96254087761786, -45.982461303493444",
263,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Ventura,"Rod BR 020, Km 408/94, São Desidério/BA","-13.134094505868115, -46.16578813711325",
264,Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Querubim,"Rod BR 020, Km 450/135, São Desidério/BA","-12.770573807156188, -46.03155616830487",
265,Fazenda Pirulito,Inacio Carlos Urban e outros - (Fazenda Pirulito),Fazenda Pirulito,"BR 365, Km 324, São Gonçalo do Abaeté - MG, CEP: 38790-000 – Brasil",-  18.302384,-45.888822
266,Fazenda São João Batista ,Fazenda São João Batista ,Fazenda São João Batista,"Rodovia BR 070 Km 372, + 12 Km a Esquerda.",-15404,-55.123111111111115
267,Fazenda Santa Cruz,Fazenda Santa Cruz,Fazenda Santa Cruz,"Rua Luiz Carlos Zani, Nº 365 – A, Jardim Boa Vista – Ibiporã – PR",-21.64082748233687,-45.80302
268,Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos- Ltda – Gebana Brasil (Grupo Filipini),Fazenda Santo Antônio (Rodial),"Fazenda Santo Antônio, Zona Rural Zortea – SC",-27.464325,-51.57991666666667
269,Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos- Ltda – Gebana Brasil (Grupo Filipini),Fazenda Umbu,"Umbu, Zona Rural, Zortea – SC",-27.49376666666667,-51.44497222222222
270,AgroSB,AgroSB Agropecuária S.A.,Santana do Araguaia – PA,Santana do Araguaia – PA,-9.503105555555555,-50.83139722222223
271,Amaggi,Amaggi Commodities EU RED,Água Quente,"Estrada SZ-01, KM 34 - Margem esquerda, Sapezal - Mato Grosso",-58.84351111111111,-13.839122222222223
272,Amaggi,Amaggi Commodities EU RED,Aricá,"Rodovia BR 364, Km 649 à direita, Diamantino – Mato Grosso",-56.900816666666664,-13.883744444444444
273,Amaggi,Amaggi Commodities EU RED,Cereal Ouro,"Rodovia BR 249, Km 95 à direita, Diamantino – Mato Grosso",-56.900555555555556,-13.88361111111111
274,Amaggi,Amaggi Commodities EU RED,Comil I e II,"Estrada Alto Sapezal, margem esquerda Rio Juruena, Km 47, Sapezal - Mato Grosso",-58.79277777777778,-13.892777777777777
275,Amaggi,Amaggi Commodities EU RED,Comil III,"Rodovia MT 235, Km 123, entrando à direita + 8 Km, Campos de Júlio - Mato Grosso",-59.14771666666667,-13.6831
276,Amaggi,Amaggi Commodities EU RED,Don Aro,"Linha MA 26, Complemento MP 72 GL – Machadinho, Zona Rural, Ariquemes – Rondônia",-61.98356944444445,-9.571591666666666
277,Amaggi,Amaggi Commodities EU RED,Estrela,"Rodovia MT-170, Km 50 à direita, Campo Novo do Parecis – Mato Grosso",-57.96344166666667,-13.869941666666668
278,Amaggi,Amaggi Commodities EU RED,Globo,"Rodovia BR-364, Km 1056, Sapezal - Mato Grosso",-58.59330555555556,-12.951833333333333
279,Amaggi,Amaggi Commodities EU RED,Independência,"Rodovia BR 174, Km 13 + 12 Km esquerda, Vilhena – Mato Grosso,",-68.13724722222223,-12.586702777777779
280,Amaggi,Amaggi Commodities EU RED,Itamarati,"Rodovia BR 364 – Entroncamento com MT 358 – Fazenda CIAPAR, Campo Novo do Parecis - Mato Grosso",-57.951686111111115,-14.317305555555555
281,Amaggi,Amaggi Commodities EU RED,Lajeada,"Rodovia MT 388 linha Alto Juruena, Campos de Júlio - Mato Grosso,",-59.201483333333336,-14.106577777777778
282,Amaggi,Amaggi Commodities EU RED,Letícia II,"Rodovia MT 388, Linha Alto Juruena Km 18, Campos de Júlio – Mato Grosso",-59.178288888888886,-13.800016666666668
283,Amaggi,Amaggi Commodities EU RED,Matão,"Rodovia BR 364, Km 1053, Sapezal – Mato Grosso,",-58.57947222222223,-12.898555555555555
284,Amaggi,Amaggi Commodities EU RED,Nossa Senhora Aparecida,"Rodovia BR-364, Km 1093 - Sapezal – Mato Grosso,",-58.73491666666667,-13.200444444444443
285,Amaggi,Amaggi Commodities EU RED,Pirâmide,"Rodovia MT-170, Km 86 + 40 Km à direita, Campo Novo do Parecis – Mato Grosso",-57.78066666666667,-13.300972222222223
286,Amaggi,Amaggi Commodities EU RED,Porta Do Céu,"Rodovia MT-170, Km 90 + 2 Km à esquerda, Campo Novo do Parecis – Mato Grosso,",-57.93633611111111,-13.570827777777778
287,Amaggi,Amaggi Commodities EU RED,Rodeio e Canário,"Rodovia MT 235, Km 110 + 20 Km à direita - Sapezal - Mato Grosso",-58.70388888888889,-13.627500000000001
288,Amaggi,Amaggi Commodities EU RED,Santa Amélia / Curitiba,"Rodovia MT-170, Km 74 + 40 Km à direita, Campo Novo do Parecis – Mato Grosso",-57.58744444444444,-13.816888888888888
289,Amaggi,Amaggi Commodities EU RED,Santa Maria,"Rodovia MT-170, Km 80 + 50 Km à direita, Campo Novo do Parecis – Mato Grosso",-57725,-13.328111111111111
290,Amaggi,Amaggi Commodities EU RED,Santa Maria/ Primavera,"Rodovia MT-170, Km 74 + 40 Km à direita, Campo Novo do Parecis – Mato Grosso",-57.926091666666665,-13.784975
291,Amaggi,Amaggi Commodities EU RED,Santa Rosa Do Paraná I e II,"Rodovia MT 235, Km 137 entrando à direita percorre-se uma distância de 17 Km, Sapezal – Mato Grosso",-58.85777777777778,-13.411111111111111
292,Amaggi,Amaggi Commodities EU RED,São Carlos,"Rodovia MT-170, Km 90 + 2 Km à esquerda, Campo Novo do Parecis – Mato Grosso,",-57.93633611111111,-13.570827777777778
293,Amaggi,Amaggi Commodities EU RED,Saudades,"Rodovia MT 235, Km 165, Campos de Júlio – Mato Grosso",-59.154777777777774,-13.526583333333335
294,Amaggi,Amaggi Commodities EU RED,Três Marcos,"Rodovia BR 364, Km 915 à direita, Campo Novo do Parecis - Mato Grosso",-57.980336111111114,-13.34041388888889
295,Amaggi,Amaggi Commodities EU RED,Tucunaré,"Rodovia MT 235, Km 133, Sapezal – Mato Grosso",-58.90891388888889,-13.478083333333334
296,Louis Dreyfus Company ,Louis Dreyfus Company - LDC Sorriso,Fazenda América,"Rodovia MT 220, Km 135, Tabaporã/MT, Brasil",-11.546308333333334,-56.516375
297,Louis Dreyfus Company ,Louis Dreyfus Company - LDC Sorriso,Fazenda Boa Vista,"Rodovia MT 140, Km 10 + 5 Km à direita, Sorriso/MT, Brasil",-13.152155555555556,-55.37456666666667
298,Louis Dreyfus Company ,Louis Dreyfus Company - LDC Sorriso,Fazenda Rio Branco,"Rodovia MT 010, 35 Km após Ipiranga do Norte sentido ""moegão da Bunge"", Ipiranga do Norte/MT, Brasil",-11.956708333333333,-56.152794444444446
299,Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,Carlos Eduardo Silveira,Assentamento Ander Rodolfo Henrique ,-24.920630555555558,-54.03516666666666
