Organization,Name,Farm,Address,Latitude,Longitude
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Campo Alegre,Araguari/MG,"-46,90139","-16,35907"
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Gira Mundo,Paracatu/MG,-46577179,-16910471
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Liberdade,"Bonfinópolis de Minas a Unaí km 78 à direita, Bonfinópolis de Minas/MG","-46,504286","-16,33246"
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Santo Antônio,Canápolis/MG,"-49,23964",-18647377
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,São Luiz,Estrela do Sul/MG,"-47,706083","-18,862501"
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,São Luiz,Paracatu/MG,"-47,2500733","-17,4651716"
Grupo de Produtores CJ Selecta,Grupo de Produtores CJ Selecta,Sayo,Indianópolis/MG,"-47,73718","-47,73718"
Wellington Pereira Lima - Gebana Goias,Wellington Pereira Lima - Gebana Goias,Wellington Pereira Lima - Gebana Goias,Comunidade Norte - Goianésia / GO,"15º08'23,4 7''","48º57'10,6 7''"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Fazenda Lage,Santana da Vargem – MG,"21º 16' 58""S","45º26'0 3""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Faz. Saquarema,Carmo da Cachoeira – MG,21º31'40.48''S,"45º15'04.6 3""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Faz. Verdes Mares,Guapé – MG,"20º49'24.76""S","45º15'04.6 3""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Potreiro,Três Pontas - MG,"21º22'49,02","45º18'30,5 1""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Agrorossi,Serra Salitre – MG,"19º26'06.29"" S","46º50'40.3 5""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,São Pedro,Ibiá – MG,"19`30`58.07""S","46`32`04.3 4""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,FAZENDA ANGICOS,Ibiá - MG,19º56'16.07''S,"46`32`04.3 4""W"
Saag Comercial Exportadora ,Saag Comercial Exportadora Ltda - No-GMO,Fazenda Novo Horizonte,Medeiros - MG,21º36'7.70''S,"46º26'23.7 6""W"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Paiaguás,Diamantino MT,"-57,456034","-14,08013"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Palmares,Barreiras BA,"-57,456034","-11,672627"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Pamplona,Cristalina GO,"-47,625268","-16,227882"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Panorama,Correntina BA,"-46,097783","-13,407468"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Parnaíba,Tasso Fragoso MA,"-46,077028","-8,514722"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Perdizes,Porto dos Gaúchos PZ,"-56,260797","-11,641121"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Pioneira,Querência MT,"-52,420525","-12,100987"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Planalto,Costa Rica MS,"-53,204092","-18,211311"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Planeste,Balsas MA,"-46,859487","-8,554206"
SLC Agrícola,SLC Agrícola S.A.,Fazenda Planorte,Sapezal MT,"-58,898933","-13,936938"
Archer-Daniels-Midland Company (ADM),ADM do Brasil - Fazenda Perdigão,Fazenda Perdigão,"Partindo de São Gabriel do Oeste pelo sentido areado, seguindo a sgo 066, após o rio Coxim seguir por 700 metros. Entrar na estrada a direita e seguir por mais 2 km até chegar a sede da fazenda Bela Miragem, entrar a esquerda e seguir por mais 500 metros, após o córrego Estiva chega a sede da fazenda.","19º21'17,6 4'' S","54º33'09,7''O"
Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda Serra Azul,"Estrada do Marzagao, Rosário do Oeste/MT","-55,646","-14,629"
Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda São Miguel,"Fazenda São Miguel, Zona rural, Campo Verde/MT","-54,983","-15,356"
Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda Itaipu,BR 364 KM-260 Vicinal a direita + 55km,,
Louis Dreyfus Company ,Louis Dreyfus Company – Bom Futuro Agrícola LTDA,Fazenda Vovô Ernesto,BR 163 km-665 + 17km a direita sentido Nova Mutum e Lucas do Rio Verde – Nova Mutum/MT,"-55,898","-13,322"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Alegria,"BR 163, Km 720, Sorriso-MT - Brasil","12º48'17,91'' S","55º46'34,95'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Berrante de Ouro,"MT 487, Km 23 – Gleba Barreiro, Sorriso-MT – Brasil",12.05.779' S,55.39.541' W
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Cella,"MT 242, Km 34 Linha Tropical sentido Ipiranga do Norte, Sorriso- MT – Brasil","12.30'7782"" S","55.88'8805"" W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Centro da Mata,"MT 242, Km 759, Nova Ubiratã-MT – Brasil","13º04'14,87'' S","54º57'55,59'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Criciúma,"Rodovia MT 242 Km 50, Nova Ubiratã-MT, Brasil","13º20'18,93'' S","55º07'08,23'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Jaborandi,"MT 242, Km 32, Sorriso-MT - Brasil","12.9' 1"" S","55.45'3"" W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Leopoldina,"BR 163, Km 722 + 53 à esquerda, Sorriso-MT – Brasil","12º34'32,73'' S","56º00'53,46'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Marauense,"BR 163 + 50 Km à direita, Sorriso- MT – Brasil","13º07'41,6''S","55º19'19,0'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Morena,"MT 235, Km 32 + 10 à direita + 3 à direita, Campo Novo do Parecis-MT – Brasil",13º81'54'' S,"57º65'60,3'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Nossa Senhora da Salete,"BR 163, Km 768 + 20 Km, Vera-MT – Brasil","12º 28' 53,85'' S","55º 29' 05,06'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Pedra,"BR 163, Km 719, Sorriso-MT - Brasil","12º48'56,23'' S","55º45'52,18'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Pinhal,"Pontal do Verde, Polícia Federal 30 Km, Sorriso-MT – Brasil","12º56'26,06'' S","55º34'50,1'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Pluma,"MT 242, Estrada do Macaco por 20 Km, Sorriso-MT – Brasil","12º49'49,86'' S","55º23'00,58'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Rio Vermelho,Ipiranga Norte MT,12º04'35 43'',56º24'11 98''
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Rodeio,"BR 242, Km 29, Sorriso-MT – Brasil","12º43'25,00'' S","55º31'58,00' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santa Ernestina,"BR 163, Km 760 à esquerda, Sorriso- MT – Brasil","12º 28'46,76'' S","55 41'46,7"" W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santa Maria da Amazônia,"MT 242, Km 20, sentido Ipiranga do Norte, Sorriso-MT – Brasil","12.22'16"" S","55.48'18"" W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santana,"BR 163, Km 776, 4 Km à direita, Sorriso-MT – Brasil",8º 63' 11.9'' S,"65º 24'63,03'' W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Santo Antônio,"Br 163, Distrito de Primaverinha, Sorriso-MT – Brasil",12º56'50'' S,55º51'10'' W
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda São Felipe,"BR 163, Km 708, Distrito de Primavera-MT – Brasil","12.47'18.72"" S","55.47'06.11"" W"
Associação Clube Amigos da Terra ,Associação Clube Amigos da Terra – CAT Sorriso,Fazenda Videirense,BR 163 Km 729 Sorriso-MT – Brasil,"12.51'32.74"" S","55.44'37.79"" W"
SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PIRACEMA,Nova Mutum – MT,-13.949582647895298,-55.78755225717667
SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PIRAPORA,Santa Rita do Trivelato - MT,"-14.055526648521356,",-55.381183203461205
SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PAMPEIRA,Campo Novo do Parecis – MT,"-14.232758629576953,",-57.70757437834914
SLC Agrícola,SLC Agricola S.A. - Group II Terra Santa,FAZENDA PROSPERA,Tabaporã – MT,-11.035782090505126,-56.363610883179916
Grupo Reinhofer,Grupo Reinhofer,Fazenda Campo Bonito,Reserva do Iguaçu -PR,-25.777681,-51.928203
Grupo Reinhofer,Grupo Reinhofer,Fazenda Invernada da Reserva,Reserva do Iguaçu -PR,-25.869780,-51.964361
Grupo Reinhofer,Grupo Reinhofer,Fazenda Cupim,Guarapuava- PR,-25.525556,-51.576036
Grupo Reinhofer,Grupo Reinhofer,Fazenda Santa Bárbara,Pinhão - PR,-25.660838,-51.794032
Grupo Reinhofer,Grupo Reinhofer,Fazenda Santa Isabel,Guarapuava- PR,-25.552840,-51.351425
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santana,Riachão das Neves - BA,11º40'34.1 6''S,45º43'19.0 8''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santa Clara,Bom Jesus - PI,09º08'40.1 2''S,45º03'57.7 7''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Agro Chapada,Paranatinga - MT,13º33'32.9 4''S,54º18'39.8 5''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Pau Brasil,Campos Lindos - TO,08º04'07.5 7''S,"46º33'46,6 2''O"
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio Khon,Formosa do Rio Petro – BA,08º14'14.7 9''S,46º39'19.7 9''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai,Luiz Eduardo Magalhães – BA,12º15'01.7 1''S,45º52'00.2 6''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Sapucai Semear,Riachão das Neves – BA,11º29'33.3 6''S,45º13'49.7 0''O
Cerquality Consultoria em Sustentabilidade e Certificação,Cerquality Consultoria em Sustentabilidade e Certificação LTDA - Grupo IV,Fazenda Santo Antônio,Barreiras - BA,11º42'54.40''S,45º58'45.31''O
Fazenda Pau Furado,FAZENDA PAU FURADO,FAZENDA PAU FURADO,"Rua do Kalinoski, km 16 – Teixeira Soares/PR",25º11'49.0''S,50º18'54.8''W
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Progresso,Sebastião Leal/PI,"7º27'22,19''S","44º09'44,76' 'O"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Tunísia,Uruçuí/PI,"7º24'29,20''S","44º18'43,15''O"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Condomínio Boa Esperança,Ribeiro Gonçalves/PI,"8º21'46,71''S","45º30'30,34''O"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Nova Holanda,Alto Parnaíba/MA,"8º50'16,22''S","46º33'40,82''O"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Serra Vermelha,Sambaíba/MA,"6º53'39,56''S","45º19'32,33''O"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Sol Nascente,Balsas/MA,"7º24'26,40''S","46º00'53,36''O"
Fundação de Apoio à Pesquisa do Corredor de Exportação Norte “Irineu Alcides Bays,FAPCEN,Fazenda Santa Luzia,São Raimundo das Mangabeiras/MA,"6º51,56,84''S","45º29'52,77''O"
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Barranco Alto (Carolina),Linha 155 Gleba Corumbiara – Corumbiara/RO,-12.9903,-61.1752
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Chupinguaia (Nossa Senhora Aparecida e Vitória),"Linha 125, km 08, lote 37, Gleba Corumbiara - Chupinguaia/RO",-12.5894,-60.9568
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Curitiba (Cabixi),Rodovia BR 364 km 450 Sentido Cuiabá a Porto Velho a esquerda 100 km – Comodoro/MT,13.5432,-60.4186
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Dom Pedro (Pouso Redondo),"Linha 165, Gleba Corumbiara – Corumbiara/RO",-13.0003,-60.9653
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Juliana (Ipê / Cacoal),"Linha 130, Lote 51, Setor 10, Gleba Corumbiara – Chupinguaia/RO",-12.6789,-61.1009
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Maringá 3,Gleba Ricardo Franco - Vila Bela da Santissima Trindade/MT,-14.4411,-60.1257
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Pérola,Rodovia BR 364 KM 1090 – Sapezal/MT,-13.1358,-58.6772
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Pirapó,"RODOVIA MT 235, KM 137 + 2 KM À DIREITA, S/N, São José do Rio Claro/MT.","-13,85","-57,1879"
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Retiro (Itaúna e Parecis),"Rodovia BR 174 km 21, saída para Juína – Vilhena/RO",-12.5667,-60.0786
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Reunidas do Papagaio,Rodovia MT 235 KM 80 + 17 KM à direita – Sapezal/MT,-13.4259,58.4228
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Santa Ana,Linha 155 Gleba Corumbiara – Corumbiara/RO,-12.9996,-61.23837
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Santa Cândida,Rodovia MT 235 km 112 + 30 km esquerda – Sapezal/MT,-13.8006,-58.6630
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,São Miguel SM5,"Estrada Nova Fronteira, S/N, km 125, linha Sul – Sapezal-MT.",-13.5839,-58.7755
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Sete Lagoas,"ROD. BR 364 KM 30 + 30 KM À ESQUERDA. ENTRE O POSTO GIL E DIAMANTINO, S/N, ZONA RURAL Diamantino/MT",- 14.5824,-56.4549
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Siriema,"Rodovia MT 235, km 137 entrando a direita percorre-se uma distância de 25 quilômetros – Sapezal/MT",-13.3592,-58.8949
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Tupancy,"Rodovia MT 235, Km 100 + 15 Km à direita – Sapezal/MT",-13.4602,-58.5877
Amaggi,Amaggi Exp Imp Ltda–Grupo Parecis II,Fazenda Zanella II,Linha Alto Juruena - Campos de Julio/MT,-13.9476,-59.2014
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda União,"Rodovia BR 174, Km 30, Zona Rural, Vilhena/RO.",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Brasil,Barra Do Garças/MT,"15º00'00,22''S",52º17'2''O
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Terezinha,Nova Xavantina/MT,"15º00'00,24''S","52º31'32,36''O"
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Querência,Tangará da Serra/MT,"14º29'13,32122'' S","58º21'18,34332'' O"
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Roncador,Querência/MT,12º8'40''S,52º14'56''O
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Casa Real,"Rodovia Br 020, Km 70 + 70 Km À Esquerda, São Desidério/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Erechim,"Rod Br 020, Km 113 + 23 Km À Direita, Sentido Lem-Brasília, São Desidério/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Cruzeiro do Sul,"Rod Mt 130 + 140 Km Sentido Santiago Do Norte, Paranatinga/MT",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Novo Rumo,"Rod Naviraí - Porto Caiua, Km 37, Sede B, Naviraí/MS",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda São Francisco,"Rodovia Br 020, Km 91, São Desidério/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Paraná,Brasnorte/MT,11º41'4'' S,58º13'48'' O
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Bom Jesus,"Rod Br 364, Km 126, Pedra Preta/MT",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Terezinha,Grupo Bom Jesus Agropecuária Ltda,,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Maria ,"Fazenda Santa Maria Lote 11 E, Formosa Do Rio Preto/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Reata,"Rod Mt 170 - Km 75 - Sucuruina, Sn, Campo Novo Dos Parecis/MT",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Beltrão Terra Forte,"Rod Br 163, Km 774, A Esquerda + 20km, Coxim/MS",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santa Maria,São Felix Do Araguaia /MT,11º10'13.5''S,52º49'6'' O
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Santo Expedito,"Rodovia Br 242, Km 45, Luís Eduardo Magalhães/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Centúria,"Rod Ba 459, Km 35, Formosa Do Rio Preto/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Sagarana,"Rod Br 020, Km 21, Correntina/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Timbaúba,"Rod Br 020, Km 175, Luís Eduardo Magalhães/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Acalanto,"Rod Br 020, Km 425/110, São Desidério/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Ventura,"Rod BR 020, Km 408/94, São Desidério/BA",,
Bunge,Bunge Alimentos - Grupo de Productores Bunge,Fazenda Querubim,"Rod BR 020, Km 450/135, São Desidério/BA",,
Fazenda Pirulito,Inacio Carlos Urban e outros - (Fazenda Pirulito),Fazenda Pirulito,"BR 365, Km 324, São Gonçalo do Abaeté - MG, CEP: 38790-000 – Brasil",-  18.302384,-45.888822
Fazenda São João Batista ,Fazenda São João Batista ,Fazenda São João Batista,"Rodovia BR 070 Km 372, + 12 Km a Esquerda.",15º24'14.4''S,55º07'23.2''W
Fazenda Santa Cruz,Fazenda Santa Cruz,Fazenda Santa Cruz,"Rua Luiz Carlos Zani, Nº 365 – A, Jardim Boa Vista – Ibiporã – PR",-21.64082748233687,-45.80302
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos- Ltda – Gebana Brasil (Grupo Filipini),Fazenda Santo Antônio (Rodial),"Fazenda Santo Antônio, Zona Rural Zortea – SC",27º27'51.5 7''S,51º34'47.7 0''O
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos- Ltda – Gebana Brasil (Grupo Filipini),Fazenda Umbu,"Umbu, Zona Rural, Zortea – SC",27º29'37.5 6''S,51º26'41.9 0''O
AgroSB,AgroSB Agropecuária S.A.,Santana do Araguaia – PA,Santana do Araguaia – PA,"09º30'11,1 8""S","50º49'53,0 3""O"
Amaggi,Amaggi Commodities EU RED,Água Quente,"Estrada SZ-01, KM 34 - Margem esquerda, Sapezal - Mato Grosso",58º50'36.64''W,13º50'20.84''S
Amaggi,Amaggi Commodities EU RED,Aricá,"Rodovia BR 364, Km 649 à direita, Diamantino – Mato Grosso","56º54'02,94""W","13º53'01,48""S"
Amaggi,Amaggi Commodities EU RED,Cereal Ouro,"Rodovia BR 249, Km 95 à direita, Diamantino – Mato Grosso","56º54'02""W","13º53'01""S"
Amaggi,Amaggi Commodities EU RED,Comil I e II,"Estrada Alto Sapezal, margem esquerda Rio Juruena, Km 47, Sapezal - Mato Grosso",58º 47' 34''W,13º 53' 34'' S
Amaggi,Amaggi Commodities EU RED,Comil III,"Rodovia MT 235, Km 123, entrando à direita + 8 Km, Campos de Júlio - Mato Grosso","59º 08' 51,78'' W","13º 40' 59,16''S"
Amaggi,Amaggi Commodities EU RED,Don Aro,"Linha MA 26, Complemento MP 72 GL – Machadinho, Zona Rural, Ariquemes – Rondônia",61º59'0.85'' W,9º34'17.73'' S
Amaggi,Amaggi Commodities EU RED,Estrela,"Rodovia MT-170, Km 50 à direita, Campo Novo do Parecis – Mato Grosso","57º57'48,39''W","13º52'11,79''S"
Amaggi,Amaggi Commodities EU RED,Globo,"Rodovia BR-364, Km 1056, Sapezal - Mato Grosso","58º35'35,9''W","12º57'06,6''S"
Amaggi,Amaggi Commodities EU RED,Independência,"Rodovia BR 174, Km 13 + 12 Km esquerda, Vilhena – Mato Grosso,","68º8'14,09""W","12º35'12,13""S"
Amaggi,Amaggi Commodities EU RED,Itamarati,"Rodovia BR 364 – Entroncamento com MT 358 – Fazenda CIAPAR, Campo Novo do Parecis - Mato Grosso",57º57'6.07''W,14º 19'2.30''S
Amaggi,Amaggi Commodities EU RED,Lajeada,"Rodovia MT 388 linha Alto Juruena, Campos de Júlio - Mato Grosso,",59º12'5.34''W,14º6'23.68''S
Amaggi,Amaggi Commodities EU RED,Letícia II,"Rodovia MT 388, Linha Alto Juruena Km 18, Campos de Júlio – Mato Grosso",59º10'41.84''W,13º48'0.06''S
Amaggi,Amaggi Commodities EU RED,Matão,"Rodovia BR 364, Km 1053, Sapezal – Mato Grosso,","58º34'46,1''W","12º53'54,8''S"
Amaggi,Amaggi Commodities EU RED,Nossa Senhora Aparecida,"Rodovia BR-364, Km 1093 - Sapezal – Mato Grosso,","58º44'05,7''W","13º12'01,6''S"
Amaggi,Amaggi Commodities EU RED,Pirâmide,"Rodovia MT-170, Km 86 + 40 Km à direita, Campo Novo do Parecis – Mato Grosso","57º46'50,4''W","13º18'03,5''S"
Amaggi,Amaggi Commodities EU RED,Porta Do Céu,"Rodovia MT-170, Km 90 + 2 Km à esquerda, Campo Novo do Parecis – Mato Grosso,","57º56'10,81''W","13º34'14,98''S"
Amaggi,Amaggi Commodities EU RED,Rodeio e Canário,"Rodovia MT 235, Km 110 + 20 Km à direita - Sapezal - Mato Grosso",58º42'14''W,13º37'39'' S
Amaggi,Amaggi Commodities EU RED,Santa Amélia / Curitiba,"Rodovia MT-170, Km 74 + 40 Km à direita, Campo Novo do Parecis – Mato Grosso","57º35'14,8''W","13º49'0,8''S"
Amaggi,Amaggi Commodities EU RED,Santa Maria,"Rodovia MT-170, Km 80 + 50 Km à direita, Campo Novo do Parecis – Mato Grosso","57º43'30,0''W","13º19'41,2''S"
Amaggi,Amaggi Commodities EU RED,Santa Maria/ Primavera,"Rodovia MT-170, Km 74 + 40 Km à direita, Campo Novo do Parecis – Mato Grosso","57º55'33,93''W","13º47'5,91''S"
Amaggi,Amaggi Commodities EU RED,Santa Rosa Do Paraná I e II,"Rodovia MT 235, Km 137 entrando à direita percorre-se uma distância de 17 Km, Sapezal – Mato Grosso",58º 51' 28''W,13º 24' 40''S
Amaggi,Amaggi Commodities EU RED,São Carlos,"Rodovia MT-170, Km 90 + 2 Km à esquerda, Campo Novo do Parecis – Mato Grosso,","57º56'10,81''W","13º34'14,98''S"
Amaggi,Amaggi Commodities EU RED,Saudades,"Rodovia MT 235, Km 165, Campos de Júlio – Mato Grosso","59º09'17,2''W","13º31'35,7''S"
Amaggi,Amaggi Commodities EU RED,Três Marcos,"Rodovia BR 364, Km 915 à direita, Campo Novo do Parecis - Mato Grosso","57º58'49,21''W","13º20'25,49''S"
Amaggi,Amaggi Commodities EU RED,Tucunaré,"Rodovia MT 235, Km 133, Sapezal – Mato Grosso",58º 54'32.09''W,13º28'41.10''S
Louis Dreyfus Company ,Louis Dreyfus Company - LDC Sorriso,Fazenda América,"Rodovia MT 220, Km 135, Tabaporã/MT, Brasil",11º32'46.71'',56º30'58.95''
Louis Dreyfus Company ,Louis Dreyfus Company - LDC Sorriso,Fazenda Boa Vista,"Rodovia MT 140, Km 10 + 5 Km à direita, Sorriso/MT, Brasil","13º09'07,76''","55º22'28,44''"
Louis Dreyfus Company ,Louis Dreyfus Company - LDC Sorriso,Fazenda Rio Branco,"Rodovia MT 010, 35 Km após Ipiranga do Norte sentido ""moegão da Bunge"", Ipiranga do Norte/MT, Brasil","11º57'24,15''","56º9'10,06''"
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,Carlos Eduardo Silveira,Assentamento Ander Rodolfo Henrique ,24º55'14.2 7'',54º 2'6.60''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,Tatiana Eloiza Scultz,Assentamento Ander Rodolfo Henrique ,54º3'10.98'',24º56'48.8 7''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,Cleusa Guilherme da Silva,Assentamento Ander Rodolfo Henrique ,54º 2'6.60'',24º55'14.2 7''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,Diomar Zopellaro,Assentamento Ander Rodolfo Henrique ,24º55'13.0 2'',54º2'19.6 1''
Cataratas do Iguaçu Produtos Orgânicos,Cataratas do Iguaçu Produtos Orgânicos Ltda - Gebana Brasil,Jose Ezildo da Silva,Assentamento Ander Rodolfo Henrique ,24º56'20.3 6'',54º3'30.1 9''
